,Diagonal_Terms
SOLARINDS,-1450.1978538837566
AJANTPHARM,-1450.2254745802027
ALKYLAMINE,-1450.2518863951127
NAVINFLUOR,-1450.2281519453518
RELAXO,-1450.207426155797
PIDILITIND,-1450.1565424475002
VINATIORGA,-1450.2035540329855
KAJARIACER,-1450.17643720582
AARTIIND,-1450.1883039416516
CERA,-1450.1847157258535
SCHAEFFLER,-1450.155823913585
PIIND,-1450.183993845224
EICHERMOT,-1450.1663211895625
GARFIBRES,-1450.187578002283
SUPREMEIND,-1450.1469186381528
SRF,-1450.1706361907122
BALKRISIND,-1450.1590203314129
PAGEIND,-1450.1511855410254
VGUARD,-1450.1500864053921
TATAELXSI,-1450.1704446635272
RATNAMANI,-1450.1549125091274
GRINDWELL,-1450.1375676398523
BERGEPAINT,-1450.1393154429147
SHREECEM,-1450.1251138658274
HINDUNILVR,-1450.1111514504883
BAJAJFINSV,-1450.1360667242006
UNOMINDA,-1450.1603343858262
KPRMILL,-1450.1460490410484
KEI,-1450.1575860535177
HAVELLS,-1450.124047401067
CCL,-1450.138225417378
TORNTPHARM,-1450.1127053779203
SUNDRMFAST,-1450.1286090820504
JKCEMENT,-1450.1282942006824
POLYMED,-1450.1379311771736
JBCHEPHARM,-1450.1264330120569
SONATSOFTW,-1450.132609683231
HDFCBANK,-1450.0899679472059
CANFINHOME,-1450.1230224775766
ZFCVINDIA,-1450.1072225573005
APCOTEXIND,-1450.1284561150974
SUNDARMFIN,-1450.102287816576
TVSMOTOR,-1450.1119275051183
HCLTECH,-1450.090175245948
TITAN,-1450.0965094687933
MPSLTD,-1450.1111745611533
SKFINDIA,-1450.0877022089578
SUPRAJIT,-1450.1033315488553
BALAMINES,-1450.1077358693287
TIMKEN,-1450.104236954163
AARTIDRUGS,-1450.1013425834765
KNRCON,-1450.0979300142262
TIPSMUSIC,-1450.0896526942527
PVRINOX,-1450.085514224171
BAJAJHLDNG,-1450.0740682290404
DIVISLAB,-1450.0717020736222
TCS,-1450.0666010606888
JKLAKSHMI,-1450.0820614157262
BATAINDIA,-1450.0731777679982
DABUR,-1450.0654558496014
ULTRACEMCO,-1450.0684068460778
PGHL,-1450.0789306440277
LINDEINDIA,-1450.0779750387662
CARBORUNIV,-1450.068472379226
RSYSTEMS,-1450.0674288739226
GODREJCP,-1450.0620058765464
NATCOPHARM,-1450.0648921505128
CEATLTD,-1450.0658850050083
MMFL,-1450.0637569189944
MARUTI,-1450.0594694277963
3MINDIA,-1450.064007136846
RAMCOCEM,-1450.0604483637512
TIIL,-1450.055453276728
DCMSHRIRAM,-1450.052699399345
FINPIPE,-1450.0590112220707
GHCL,-1450.0568035697859
TANLA,-1450.0360479223646
ELGIEQUIP,-1450.0577580804581
ICIL,-1450.0205209803141
LTFOODS,-1450.049101339214
ESCORTS,-1450.0500120065863
ASTEC,-1450.0388211945185
GUFICBIO,-1450.0234414465613
APARINDS,-1450.0474353841173
VINYLINDIA,-1450.015611656761
WELSPUNLIV,-1450.032720238904
STERTOOLS,-1450.0406570364203
CANTABIL,-1450.034795754647
SAKSOFT,-1450.0191487126021
TRIDENT,-1450.0282611666821
SOMANYCERA,-1450.03726287771
TATACONSUM,-1450.0439139156326
FIEMIND,-1450.0467971992177
LGBBROSLTD,-1450.0432302879694
IGL,-1450.0372853059428
DHANUKA,-1450.0430804929308
NOCIL,-1450.0310582100878
COLPAL,-1450.0390206278623
UPL,-1450.0331573193237
GAEL,-1450.0204841639384
