stock,downside_deviation_annual
TVSMOTOR,0.16649980365141562
PERSISTENT,0.21092208402559606
TRENT,0.18421637373306163
ADANIPOWER,0.29504188901012796
PRESTIGE,0.21466756589811584
NTPC,0.14414256892269367
ABB,0.1873695935609951
MAXHEALTH,0.18887506791820244
ITC,0.14285307654604698
LT,0.13366581777045128
TITAN,0.16107083808597397
BHEL,0.29243755357980733
TATAPOWER,0.2527777381855228
SUNPHARMA,0.11843344166860055
OIL,0.2742912541103118
CUMMINSIND,0.17391732758044617
BHARTIARTL,0.13576460331566645
IOC,0.1781463088271209
OBEROIRLTY,0.2168084037943144
SIEMENS,0.17333245588614515
ADANIENT,0.4830889923236544
FORTIS,0.19747184372636117
CHOLAFIN,0.22429268904385383
NMDC,0.2923934434238094
DLF,0.24554089221530592
ESCORTS,0.18623475099231476
ALKEM,0.1412279109015877
M&M,0.16864287358707222
POWERGRID,0.1591743518017552
JINDALSTEL,0.30467316044965137
COFORGE,0.24188027070471924
JSWSTEEL,0.22910308684853456
TORNTPHARM,0.17877780072274124
BAJAJ-AUTO,0.1430351741069679
TATACONSUM,0.1590525456966941
APOLLOHOSP,0.18340523295513225
TATASTEEL,0.25505536911841936
NESTLEIND,0.1084392084773068
ONGC,0.231068944020322
LTTS,0.23824441437115365
SBIN,0.1717544149605026
HINDALCO,0.23449332236840775
ICICIBANK,0.1428887000529498
COLPAL,0.11736201055890375
INDIGO,0.22004181672551001
AMBUJACEM,0.3085816285291164
BRITANNIA,0.12364804814148934
BAJAJFINSV,0.18602487832707057
PIDILITIND,0.1396575977098195
ULTRACEMCO,0.15665539415472968
GODREJCP,0.16712204395000596
MPHASIS,0.2126458559246747
SBILIFE,0.15353386411638711
HINDPETRO,0.22587629632800205
CIPLA,0.1488634622184074
GRASIM,0.16674651315805705
SAIL,0.2665522198530435
EICHERMOT,0.16080175753933887
WESTLIFE,0.19058604334341603
HCLTECH,0.16392904489637736
PIIND,0.19193548531321816
INDUSINDBK,0.2291053036218846
BOSCHLTD,0.16132292698505682
AXISBANK,0.16732816056211172
ASHOKLEY,0.21729559529270975
MARUTI,0.1594045334393632
CONCOR,0.1719813222713478
ASIANPAINT,0.16653323943245515
MARICO,0.14141517541194895
ADANIGREEN,0.38346085076760555
ADANIPORTS,0.3271055148613957
GODREJPROP,0.250442537889756
PAGEIND,0.16544212539545436
BAJFINANCE,0.2013689420828529
DRREDDY,0.17094949566160422
DMART,0.19277605385918956
VEDL,0.3310223066402493
AUROPHARMA,0.20045604807790526
TECHM,0.17866729399548847
RELIANCE,0.14860356031633457
LUPIN,0.20141662590873102
ACC,0.2250680610190879
HEROMOTOCO,0.1664307329797525
HAVELLS,0.18724779356610396
TCS,0.14498152084652163
HINDUNILVR,0.13101594666910382
DIVISLAB,0.21413886777866217
INFY,0.1774714394950865
WIPRO,0.16605543489104033
HINDZINC,0.22270672682349635
BATAINDIA,0.15225069325120133
HDFCBANK,0.14899985074835426
HDFCAMC,0.16574701142759662
BPCL,0.19882590070164854
SHREECEM,0.17931711333142245
RAMCOCEM,0.1973268045747361
JUBLFOOD,0.22756918474944715
DABUR,0.13790176292537365
UPL,0.18725469511504045
KOTAKBANK,0.14731393103291882
