,Total Return,Annualized Return,Volatility,Sharpe Ratio,Max Drawdown
Classical,0.4340724022060878,0.1548595727286355,0.1559375005417754,0.6724461554425375,-0.25911134506537836
Quantum,0.6303271333005878,0.21555702783422936,0.13215103376815582,1.2527864755464617,-0.1764979188877397
Quantum_Rebalanced,1.0063701162212695,0.32060433187759485,0.17103459299584856,1.5821614045303871,-0.26119697490524363
Classical_Discrete,0.4300896158698222,0.15357759965570406,0.1529767362848728,0.6770807259400683,-0.2551279459098449
Quantum_Discrete,0.619325819663969,0.21227457345140754,0.12573756589825574,1.2905814765232277,-0.17347202158418507
Quantum_Rebalanced_Discrete,1.6373346011975731,0.47298766611592113,0.17889925384039768,2.3643903316292385,-0.23626743970015573
BSE_500,0.5678333574389278,0.19672994077982087,0.1333402858637857,1.1004171757192227,-0.18962173854598885
HDFCNIF100,-0.846815021993012,-0.5272810910173377,1.467020337246793,-0.3935058542547139,-0.9088095256260463
Nifty_100,0.5045927610266778,0.17721318804018948,0.12837762509885178,0.9909295949526589,-0.17525524535656956
Nifty_200,0.5551470758797943,0.1928532565470189,0.1320367464267057,1.08192045330591,-0.18075164150933676
Nifty_50,0.4514896358821281,0.16044082591111186,0.12345490418534048,0.8945843556389559,-0.15766678303740744
