Month,Classical,Quantum,Quantum+Rebal
2025-03-31,1000000.0,1000000.0,1000000.0
2025-04-30,1059783.7357743618,966776.6219921161,970766.9928920711
2025-05-31,1094169.2586783501,1174308.4757645868,1191967.5885543781
2025-06-30,1112320.1608268681,1337157.3806347598,1383854.3922932884
2025-07-31,1058345.0199374834,1360940.1453003227,1445448.833817005
2025-08-31,1053954.5552495723,1323505.1869999128,1426360.5788788272
2025-09-30,1057228.0948158696,1210777.305685552,1278491.4390053013
2025-10-31,1088065.1207707177,1283093.7312747466,1353156.629052537
2025-11-30,996349.685622505,1252202.9814174399,1317959.328608168
2025-12-31,1019969.8867068377,1253602.4972719396,1358550.089599294
2026-01-31,938339.0114066235,1111571.1443392767,1235241.0682587803
2026-02-28,987053.4193971718,1197655.044188297,1320977.2473110424
2026-03-31,941647.3357316715,1162030.6008383732,1300549.1789677553
